x agregada low medium high critical
47.00 0.000000 0.000000 0.000000 0.000000 0.000000
48.00 0.000000 0.000000 0.000000 0.000000 0.000000
49.00 0.000000 0.000000 0.000000 0.000000 0.000000
50.00 0.000000 0.000000 0.000000 0.000000 0.000000
51.00 0.000000 0.000000 0.000000 0.000000 0.000000
52.00 0.000000 0.000000 0.000000 0.000000 0.000000
53.00 0.000000 0.000000 0.000000 0.000000 0.000000
54.00 0.000000 0.000000 0.000000 0.000000 0.000000
55.00 0.000000 0.000000 0.000000 0.000000 0.000000
56.00 0.058824 0.000000 0.000000 0.058824 0.000000
57.00 0.117647 0.000000 0.000000 0.117647 0.000000
58.00 0.176471 0.000000 0.000000 0.176471 0.000000
59.00 0.235294 0.000000 0.000000 0.235294 0.000000
60.00 0.294118 0.000000 0.000000 0.294118 0.000000
61.00 0.352941 0.000000 0.000000 0.352941 0.000000
62.00 0.411765 0.000000 0.000000 0.411765 0.000000
63.00 0.470588 0.000000 0.000000 0.470588 0.000000
64.00 0.529412 0.000000 0.000000 0.529412 0.000000
65.00 0.588235 0.000000 0.000000 0.588235 0.000000
66.00 0.647059 0.000000 0.000000 0.647059 0.000000
67.00 0.705882 0.000000 0.000000 0.705882 0.000000
68.00 0.764706 0.000000 0.000000 0.764706 0.000000
69.00 0.823529 0.000000 0.000000 0.823529 0.000000
70.00 0.882353 0.000000 0.000000 0.882353 0.000000
71.00 0.941176 0.000000 0.000000 0.941176 0.000000
72.00 1.000000 0.000000 0.000000 1.000000 0.000000
73.00 0.937500 0.000000 0.000000 0.937500 0.000000
74.00 0.875000 0.000000 0.000000 0.875000 0.000000
75.00 0.812500 0.000000 0.000000 0.812500 0.000000
76.00 0.750000 0.000000 0.000000 0.750000 0.000000
77.00 0.687500 0.000000 0.000000 0.687500 0.000000
78.00 0.625000 0.000000 0.000000 0.625000 0.000000
79.00 0.562500 0.000000 0.000000 0.562500 0.083333
80.00 0.500000 0.000000 0.000000 0.500000 0.166667
81.00 0.437500 0.000000 0.000000 0.437500 0.250000
82.00 0.375000 0.000000 0.000000 0.375000 0.333333
83.00 0.416667 0.000000 0.000000 0.312500 0.416667
84.00 0.500000 0.000000 0.000000 0.250000 0.500000
85.00 0.583333 0.000000 0.000000 0.187500 0.583333
86.00 0.666667 0.000000 0.000000 0.125000 0.666667
87.00 0.750000 0.000000 0.000000 0.062500 0.750000
88.00 0.833333 0.000000 0.000000 0.000000 0.833333
89.00 0.916667 0.000000 0.000000 0.000000 0.916667
90.00 1.000000 0.000000 0.000000 0.000000 1.000000
91.00 1.000000 0.000000 0.000000 0.000000 1.000000
92.00 1.000000 0.000000 0.000000 0.000000 1.000000
93.00 1.000000 0.000000 0.000000 0.000000 1.000000
94.00 1.000000 0.000000 0.000000 0.000000 1.000000
95.00 1.000000 0.000000 0.000000 0.000000 1.000000
96.00 1.000000 0.000000 0.000000 0.000000 1.000000
97.00 1.000000 0.000000 0.000000 0.000000 1.000000
98.00 1.000000 0.000000 0.000000 0.000000 1.000000
99.00 1.000000 0.000000 0.000000 0.000000 1.000000
100.00 1.000000 0.000000 0.000000 0.000000 1.000000
